p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000228213924996237	-1.55872128155324	0.036	0.287	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108629828298209	14	FCGR3A
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104825808129593	-1.73705525374541	0.035	0.236	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000498970846696863	14	RNASE1
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000097603220007804	-1.95639559310391	0.042	0.305	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000464591327237147	14	C1QC
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121675194222826	-2.01731261530581	0.034	0.277	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579173924500652	14	APOE
0	3.77771742830902	0.669	0.086	0	10	CD8A
0	3.64368612283812	0.679	0.105	0	10	CCL5
0	3.58836805276369	0.579	0.082	0	10	GZMK
0	3.58709153422153	0.489	0.063	0	10	NKG7
0	3.38412079932495	0.553	0.085	0	10	GZMA
0	3.27439399207762	0.373	0.059	0	10	PRF1
0	3.06619794061039	0.574	0.105	0	10	CD2
0	3.06322553580058	0.431	0.076	0	10	CD3D
0	3.02296402187536	0.614	0.114	0	10	TRAC
0	3.0127155141818	0.487	0.089	0	10	CD3E
0	2.84340148969594	0.475	0.122	0	10	CCL4
0	2.76916242350401	0.245	0.064	0	10	LAG3
0	2.75572124072763	0.215	0.048	0	10	GZMB
0	2.52504411972307	0.232	0.055	0	10	CD247
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000198569826985174	2.12363827346905	0.353	0.212	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000945192376449429	10	HAVCR2
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199656429884863	1.9096575496507	0.309	0.17	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000950364606251949	10	ITGA4
0	1.82656443789129	0.341	0.168	0	10	CXCR4
0	1.65001230544453	0.583	0.367	0	10	PTPRC
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000433539579640233	1.46186207236438	0.22	0.104	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206364839908751	10	CXCL9
0.000000000000000000000000722515436103587	1.40222469205724	0.207	0.182	0.000000000000000000000343917347585307	10	PECAM1
0.0000000000000000000525598669558966	1.20470851275896	0.216	0.197	0.0000000000000000250184966710068	10	SERPINB9
0.0000000000000204389506806428	0.97168436061568	0.225	0.213	0.00000000000972894052398597	10	HLA-DPB1
0	0.798869472823498	0.826	0.536	0	10	CD74
0.00697266557204791	0.625131265701079	0.215	0.268	1	10	STAT3
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000238425613692224	-0.505553090456085	0.097	0.222	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000113490592117499	10	ISG15
