p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.58845680459925	0.473	0.015	0	28	PRF1
0	3.45737567562207	0.566	0.016	0	28	CD3E
0	3.44326595562236	0.406	0.011	0	28	GZMB
0	3.41643631871736	0.813	0.086	0	28	CXCL10
0	3.39526028497927	0.787	0.047	0	28	TRAC
0	3.09517158323516	0.655	0.036	0	28	CCL4
0	3.0917522200489	0.471	0.019	0	28	LAG3
0	2.95698411658028	0.641	0.056	0	28	CXCL9
0	2.89979215390445	0.534	0.025	0	28	CCL5
0	2.88682534303106	0.811	0.065	0	28	SOX18
0	2.7298920199581	0.464	0.029	0	28	HAVCR2
0	2.54601331033187	0.268	0.011	0	28	CD247
0	2.48618690049208	0.237	0.009	0	28	CD27
0	2.34649456399638	0.889	0.102	0	28	GATA2
0	2.16716772272463	0.923	0.157	0	28	SLC26A2
0	2.15674082472763	0.503	0.064	0	28	ERBB2
0	2.08839775002811	0.244	0.014	0	28	TNFRSF9
0	1.98701710622302	0.998	0.45	0	28	MDM2
0	1.90850404940833	0.994	0.329	0	28	CDK4
0	1.87068106240107	0.694	0.118	0	28	ICAM1
0	1.86339351492671	0.607	0.074	0	28	ALDH1A3
0	1.64944550052872	0.652	0.065	0	28	PTPRC
0	1.63235566875774	0.886	0.241	0	28	CD47
0	1.57285593622211	0.213	0.026	0	28	TBX3
0	3.06075625704178	0.449	0.087	0	19	GATA2
0	3.01127749169798	0.542	0.139	0	19	SLC26A2
0	2.68938320415255	0.203	0.069	0	19	ALDH1A3
0	2.40766035882898	0.946	0.426	0	19	MDM2
0	2.31953249850677	0.828	0.305	0	19	CDK4
0	1.59337527960558	0.235	0.17	0	19	TCIM
0	1.32005194585198	0.457	0.188	0	19	THAP2
0.000000000194723445051001	0.967343180008205	0.224	0.244	0.0000000926883598442764	19	CD47
0.00000000000000000000000000000000677555835676122	0.674243967772344	0.22	0.21	0.00000000000000000000000000000322516577781834	19	TGFBI
0.0000307451028429834	0.615276453047022	0.254	0.317	0.0146346689532601	19	STAT3
0	-0.537661220366558	0.427	0.601	0	19	IFI6
0	-0.681188307155602	0.073	0.205	0	19	CAVIN1
0	-0.683593674857062	0.072	0.214	0	19	MIF
0	-0.754998981600264	0.063	0.2	0	19	ACTG2
0	-0.842819193839965	0.155	0.327	0	19	ITGB1
0	-0.850230519420871	0.087	0.224	0	19	HLA-DRA
0	-0.905054555193814	0.114	0.288	0	19	VCAN
0	-0.958182610578519	0.134	0.304	0	19	CD74
0	-1.09763894311546	0.198	0.443	0	19	SOX2
0	-1.14631895781078	0.068	0.213	0	19	TIMP1
0	-1.17545334383746	0.067	0.253	0	19	TCF4
0	-1.29388531949023	0.062	0.204	0	19	MX1
0	-1.48139233606611	0.073	0.275	0	19	HIF1A
0	-1.50027195636641	0.531	0.779	0	19	GAPDH
0	-1.56866139160511	0.138	0.373	0	19	FN1
0	-1.79928143116999	0.045	0.246	0	19	RHOB
0	-1.85478061712107	0.112	0.401	0	19	IGFBP2
0	-1.93635108343785	0.139	0.459	0	19	PTN
0	-2.17479565461397	0.038	0.25	0	19	CD44
0	-2.17580766151701	0.051	0.261	0	19	SPP1
0	6.08597122521679	0.298	0.01	0	11	MZB1
0	5.54980072137757	0.228	0.011	0	11	TENT5C
0.0000000000000633135656478533	0.764201660318562	0.2	0.202	0.0000000000301372572483782	11	THAP2
0.00000000809596603592514	0.709446577527564	0.243	0.299	0.00000385367983310037	11	CD74
0	-0.509286482758979	0.067	0.215	0	11	MIF
0	-0.517765533030092	0.298	0.461	0	11	MDM2
0	-0.557646127097648	0.167	0.42	0	11	LDHA
0	-0.629989902164186	0.099	0.326	0	11	STAT3
0	-0.635046743934547	0.19	0.445	0	11	SOX2
0	-0.635718161471207	0.104	0.32	0	11	DST
0	-0.64447748217499	0.074	0.254	0	11	TCF4
0	-0.654683628776636	0.519	0.781	0	11	GAPDH
0	-0.689833751353295	0.172	0.372	0	11	FN1
0	-0.718598954786581	0.069	0.214	0	11	MEST
0	-0.971395607145229	0.056	0.254	0	11	CD47
0	-0.998677905513668	0.183	0.458	0	11	PTN
0	-1.03307972718107	0.147	0.401	0	11	IGFBP2
0	-1.04422198627011	0.083	0.26	0	11	SPP1
0	-1.0818657393125	0.074	0.291	0	11	VCAN
0	-1.1883039961611	0.07	0.249	0	11	CD44
0	-1.37365563533815	0.11	0.308	0	11	GFAP
0	-1.44157462958005	0.05	0.263	0	11	PDPN
0	-1.54956340588972	0.041	0.206	0	11	MX1
0	-1.64304597179447	0.041	0.247	0	11	RHOB
0	-1.66058564357294	0.043	0.22	0	11	TGFBI
0	-2.02253179135957	0.197	0.566	0	11	VEGFA
0	-2.25051333439103	0.044	0.227	0	11	IGFBP3
0	-2.84024936544634	0.019	0.203	0	11	EGFR
0	1.35814090931174	0.287	0.198	0	18	THAP2
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000702341461137862	0.682413253903219	0.556	0.594	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000334314535501623	18	IFI6
0	-0.525284606798093	0.088	0.318	0	18	DST
0	-0.616752585482855	0.063	0.213	0	18	MEST
0	-0.67287396176744	0.101	0.364	0	18	PGK1
0	-0.680355882051378	0.101	0.329	0	18	ITGB1
0	-0.718527243541532	0.148	0.444	0	18	SOX2
0	-0.74647126188851	0.072	0.325	0	18	STAT3
0	-0.757564276047983	0.084	0.353	0	18	CTSB
0	-0.758010696766052	0.118	0.419	0	18	LDHA
0	-0.784496283464606	0.146	0.494	0	18	CD63
0	-0.788680945222735	0.071	0.286	0	18	CDH2
0	-0.793858304321144	0.048	0.252	0	18	CD47
0	-0.808616239361385	0.052	0.253	0	18	TCF4
0	-0.848258530472924	0.041	0.205	0	18	CAVIN1
0	-0.860255297166062	0.08	0.279	0	18	TNC
0	-0.866844379161465	0.074	0.334	0	18	P4HB
0	-0.877214179067786	0.132	0.468	0	18	ENO1
0	-0.898077279153257	0.061	0.275	0	18	HIF1A
0	-0.993478719886627	0.056	0.26	0	18	PDPN
0	-1.02307411868737	0.428	0.782	0	18	GAPDH
0	-1.0938031523447	0.144	0.456	0	18	PTN
0	-1.10852525930212	0.062	0.289	0	18	VCAN
0	-1.13120990722318	0.068	0.259	0	18	SPP1
0	-1.14459610843001	0.04	0.213	0	18	TIMP1
0	-1.14962518728599	0.031	0.215	0	18	MIF
0	-1.18299903260195	0.121	0.372	0	18	FN1
0	-1.20942575434808	0.101	0.306	0	18	GFAP
0	-1.2273722778513	0.053	0.248	0	18	CD44
0	-1.27619368735129	0.104	0.4	0	18	IGFBP2
0	4.4732337642635	0.292	0.032	0	24	CXCL8
0	4.42269521029512	0.233	0.022	0	24	CXCL6
0.000000000000000000286939120374155	1.2471711794382	0.228	0.217	0.000000000000000136583021298098	24	IGFBP3
0.00000000636717761051652	0.881104162883728	0.192	0.251	0.00000303077654260586	24	SPP1
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000360003667581469	-0.500467766636262	0.056	0.231	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000171361745768779	24	TP53
